fold,test_flare,test_rmse,test_mae,test_loss,train_samples,val_samples,test_samples,error
0,2011-02-13 17:38:00,1.5293246507644653,0.9882347583770752,2.338834047317505,48.0,6.0,1.0,
1,2011-03-09 23:23:00,4.746755123138428,4.207666873931885,22.53168487548828,48.0,6.0,1.0,
2,2011-07-30 02:09:00,2.1878507137298584,1.463520884513855,4.786691665649414,48.0,6.0,1.0,
3,2011-08-03 13:48:00,0.6108291745185852,0.5741772055625916,0.373112291097641,48.0,6.0,1.0,
4,2011-08-04 03:57:00,1.566325306892395,1.4155248403549194,2.4533753395080566,48.0,6.0,1.0,
5,2011-09-06 01:50:00,0.8501736521720886,0.8151959776878357,0.7227951288223267,48.0,6.0,1.0,
6,2011-09-06 22:20:00,3.3673295974731445,3.237434148788452,11.338909149169922,48.0,6.0,1.0,
7,2011-09-07 22:38:00,5.143479824066162,4.276763439178467,26.45538330078125,48.0,6.0,1.0,
8,2011-09-08 15:46:00,7.060310363769531,5.508647441864014,49.847984313964844,48.0,6.0,1.0,
9,2011-09-25 04:50:00,3.5083398818969727,2.8303802013397217,12.308448791503906,48.0,6.0,1.0,
10,2012-01-23 03:59:00,0.8351234793663025,0.7225589752197266,0.6974312663078308,48.0,6.0,1.0,
11,2012-03-07 00:24:00,4.177609920501709,3.9790515899658203,17.452425003051758,48.0,6.0,1.0,
12,2012-03-07 01:14:00,4.645089626312256,3.8471498489379883,21.576858520507812,48.0,6.0,1.0,
13,2012-03-09 03:53:00,4.216068267822266,3.5435168743133545,17.775232315063477,48.0,6.0,1.0,
14,2012-03-10 17:44:00,1.544175148010254,1.5358238220214844,2.384477138519287,48.0,6.0,1.0,
15,2012-05-10 04:18:00,0.969932496547699,0.8935988545417786,0.9407690763473511,48.0,6.0,1.0,
16,2012-07-02 10:52:00,2.424358367919922,2.0911128520965576,5.877513885498047,48.0,6.0,1.0,
17,2012-07-04 09:55:00,1.5251188278198242,1.3505345582962036,2.3259873390197754,48.0,6.0,1.0,
18,2012-07-05 11:44:00,2.4415132999420166,2.1264312267303467,5.960987091064453,48.0,6.0,1.0,
19,2012-07-12 16:49:00,10.39500904083252,7.985374450683594,108.05620574951172,48.0,6.0,1.0,
20,2013-04-11 07:16:00,2.259124517440796,2.0098140239715576,5.103643417358398,48.0,6.0,1.0,
21,2013-10-24 00:30:00,3.4435243606567383,2.9586105346679688,11.85785961151123,48.0,6.0,1.0,
22,2013-11-01 19:53:00,2.532865524291992,2.177544593811035,6.415408134460449,48.0,6.0,1.0,
23,2013-11-03 05:22:00,2.095515012741089,1.5095858573913574,4.391182899475098,48.0,6.0,1.0,
24,2013-11-08 04:26:00,7.809504508972168,6.773881912231445,60.988365173339844,48.0,6.0,1.0,
25,2013-11-10 05:14:00,3.89731764793396,3.770733594894409,15.189085006713867,48.0,6.0,1.0,
26,2013-12-31 21:58:00,2.46631121635437,1.710222840309143,6.082691192626953,48.0,6.0,1.0,
27,2014-01-07 10:13:00,3.6828160285949707,2.2345426082611084,13.563135147094727,48.0,6.0,1.0,
28,2014-01-07 18:32:00,2.287240505218506,2.271390914916992,5.231469631195068,48.0,6.0,1.0,
29,2014-02-04 04:00:00,5.469106197357178,4.912231922149658,29.91112518310547,48.0,6.0,1.0,
30,2014-03-29 17:48:00,3.8125040531158447,3.2774240970611572,14.535186767578125,48.0,6.0,1.0,
31,2014-04-18 13:03:00,2.5857183933258057,2.270131826400757,6.685939311981201,48.0,6.0,1.0,
32,2014-04-25 00:27:00,2.476837158203125,2.1268622875213623,6.134722709655762,48.0,6.0,1.0,
33,2014-09-10 17:45:00,11.411431312561035,9.371414184570312,130.22076416015625,48.0,6.0,1.0,
34,2014-09-28 02:58:00,2.8144443035125732,2.337289571762085,7.921098232269287,48.0,6.0,1.0,
35,2014-10-22 01:59:00,2.353083848953247,2.097616195678711,5.537003993988037,48.0,6.0,1.0,
36,2014-10-22 14:28:00,3.6586227416992188,2.6315200328826904,13.385519981384277,48.0,6.0,1.0,
37,2014-10-24 21:41:00,2.0498456954956055,1.5993009805679321,4.201867580413818,48.0,6.0,1.0,
38,2014-10-25 17:08:00,2.317448377609253,1.7434033155441284,5.370567321777344,48.0,6.0,1.0,
39,2014-10-26 10:56:00,2.078730821609497,1.6822800636291504,4.321122169494629,48.0,6.0,1.0,
40,2014-11-07 17:26:00,1.917295217514038,1.6023229360580444,3.676021099090576,48.0,6.0,1.0,
41,2014-12-04 18:25:00,1.5111334323883057,1.469312071800232,2.28352427482605,48.0,6.0,1.0,
42,2014-12-17 04:51:00,1.8844999074935913,1.4914861917495728,3.551339864730835,48.0,6.0,1.0,
43,2014-12-18 21:58:00,3.6438963413238525,3.508183717727661,13.277982711791992,48.0,6.0,1.0,
44,2014-12-20 00:28:00,7.231456279754639,6.558237552642822,52.2939567565918,48.0,6.0,1.0,
45,2015-03-09 23:53:00,2.985929489135742,2.436038017272949,8.915775299072266,48.0,6.0,1.0,
46,2015-03-10 03:24:00,3.4021782875061035,3.26263427734375,11.574817657470703,48.0,6.0,1.0,
47,2015-03-11 16:22:00,2.665175199508667,2.3503174781799316,7.103158950805664,48.0,6.0,1.0,
48,2015-06-22 18:23:00,1.6227004528045654,1.6223396062850952,2.6331567764282227,48.0,6.0,1.0,
49,2015-06-25 08:16:00,2.540410041809082,2.0805344581604004,6.453683376312256,48.0,6.0,1.0,
50,2015-08-24 07:33:00,2.2725982666015625,1.7468204498291016,5.164703369140625,48.0,6.0,1.0,
51,2015-09-28 14:58:00,2.566854953765869,2.3285939693450928,6.588744640350342,48.0,6.0,1.0,
52,2017-09-04 20:33:00,4.339714527130127,2.946723699569702,18.833120346069336,48.0,6.0,1.0,
53,2017-09-06 09:10:00,4.199570178985596,3.6636507511138916,17.636390686035156,48.0,6.0,1.0,
54,2017-09-06 12:02:00,8.371477127075195,6.858046054840088,70.08163452148438,48.0,6.0,1.0,
55,2017-09-07 10:15:00,,,,,,,Empty dataset
56,2017-09-07 14:36:00,,,,,,,Empty dataset
