fold,test_flare,test_rmse,test_mae,test_loss,train_samples,val_samples,test_samples
0,2011-02-13 17:38:00,1.9417672,1.430278,3.7704598903656006,48,6,1
1,2011-03-09 23:23:00,4.679763,4.480206,21.90018081665039,48,6,1
2,2011-07-30 02:09:00,3.2203407,2.9495494,10.370595932006836,48,6,1
3,2011-08-03 13:48:00,1.7158961,1.5911003,2.9442994594573975,48,6,1
4,2011-08-04 03:57:00,1.6489245,1.3300064,2.718951940536499,48,6,1
5,2011-09-06 01:50:00,0.68174404,0.6783243,0.4647749364376068,48,6,1
6,2011-09-06 22:20:00,2.3913558,1.854859,5.718583106994629,48,6,1
7,2011-09-07 22:38:00,,,,48,6,1
8,2011-09-08 15:46:00,6.3009663,4.502758,39.70217514038086,48,6,1
9,2011-09-25 04:50:00,3.4386756,3.076711,11.82448959350586,48,6,1
10,2012-01-23 03:59:00,0.096825995,0.09435693,0.009375274181365967,48,6,1
11,2012-03-07 00:24:00,3.815555,3.7931795,14.558459281921387,48,6,1
12,2012-03-07 01:14:00,4.5357313,3.180226,20.572860717773438,48,6,1
13,2012-03-09 03:53:00,3.492331,3.2862804,12.19637680053711,48,6,1
14,2012-03-10 17:44:00,1.9185683,1.8762795,3.6809041500091553,48,6,1
15,2012-05-10 04:18:00,0.54208076,0.44906208,0.2938515245914459,48,6,1
